society,glottocode,landesque_capital,political_complexity,social_stratification,latitude,longitude
Aeta,boto1242,0,0,0,15.2315,120.164
Agta,casi1235,0,0,0,16.2176,121.878
Alune,alun1238,0,2,2,-3.11477,128.394
Ambonese,hitu1239,0,2,2,-3.57478,128.186
Ami,amis1246,0,1,2,23.0917,121.348
Aneityum,anei1239,1,2,2,-20.1864,169.825
Anuta,anut1237,1,1,2,-11.61,169.85
Atayal,atay1247,0,1,1,24.5209,121.388
Atoni,uabm1237,0,4,3,-9.77284,124.144
Austral Islands,aust1304,1,2,2,-23.3843,210.538
Bali,bali1278,1,3,3,-8.35714,115.075
Banjarese,banj1239,1,4,4,0.747105,115.79
Banks Islands,motl1237,1,0,0,-13.655015,167.706277
Berawan,west2564,0,0,1,3.9815,114.528
Besemah,cent2053,1,2,1,-3.79673,103.137
Biak,biak1248,0,1,1,-0.9523,135.879
Bikol,cent2087,1,1,3,13.7574,123.403
Bilaan,koro1310,0,1,0,6.20529,125.007
Bontok,cent2292,1,0,4,17.08,120.92
Brunei Malays,brun1242,0,4,4,4.456045,114.429505
Bugis,bugi1244,1,4,4,-4.47,119.977
Bugotu,bugh1239,0,0,1,-8.47948,159.802
Buka,teop1238,0,2,1,-5.67474,154.971
Bukidnon,binu1244,0,1,1,8.15933,124.892
Bunun,bunu1267,0,1,1,23.4116,121.025
Buru,buru1303,0,2,1,-3.43957,126.632
Butonese,woli1241,0,3,4,-5.33,122.67
Bwaidoga,bwai1242,0,0,0,-9.51158,150.297
Canala,xara1244,1,3,4,-21.7034,165.996
Cham,east2563,1,3,4,11.2853,108.49
Chamorro,cham1312,0,1,2,13.438011,144.74474
Cheke Holo,chek1238,0,1,1,-8.27055,159.625
Choiseul,baba1268,0,1,1,-7.22281,157.149
Chuuk,chuu1238,0,2,2,7.346993,151.598607
Cotabato Manobo,cota1241,0,2,0,6.39417,124.234
Dobu,dobu1241,0,0,0,-9.63239,150.825
East Sumbanese,kamb1299,0,2,3,-9.88447,120.235
Eastern Toraja,pamo1252,0,1,1,-1.62663,121.268
Eromanga,siee1239,0,2,2,-18.8181,169.166
Fijians,fiji1243,1,3,3,-18,178.33
Futuna,east2447,1,2,2,-14.278717,181.862778
Futuna and Aniwa,futu1245,0,2,2,-19.5303,170.215
Hanunóo,hanu1241,0,0,0,12.4159,121.221
Hawaiians,hawa1245,1,4,4,19.6297,204.57
Ibaloi,ibal1244,1,1,2,16.4263,120.695
Iban,iban1264,0,0,1,2.09041,112.934
Ifugao,amga1235,1,0,4,16.9016,121.042
Ilongot,ilon1239,0,0,0,16.3785,121.547
Isneg,isna1241,0,0,0,18.2139,121.16
Javanese,java1254,1,4,4,-7.001,109.287
Kairiru,kair1263,0,0,1,-3.34608,143.558
Kalinga,lubu1243,1,0,1,17.3879,121.0365
Kapingamarangi,kapi1249,1,1,1,1.039166,154.797223
Kayan,reja1241,0,1,3,2.71903,114.169
Kédang,keda1252,0,1,1,-8.23039,123.77
Kei,keii1239,0,3,3,-5.63948,133.02
Kelabit,kela1258,1,0,1,3.31783,115.428
Kenyah,main1275,0,1,3,3.42975,116.47431
Kilenge,male1289,0,1,1,-5.61613,148.445
Kiribati,gilb1244,1,2,4,0.179,173.64
Kosrae,kosr1238,0,3,2,5.31,162.98
Kwaio,kwai1243,0,0,1,-8.93744,160.965
Kwara'ae,kwar1239,0,0,1,-8.75779,160.804
Lak,siar1238,0,0,0,-4.62059,152.892
Lakalai,naka1262,0,1,1,-5.59931,150.888
Land Dayak,baub1235,0,0,1,1.54467,109.985
Lau,lauu1247,0,0,1,-8.51018,160.872
Madang,geda1237,0,1,1,-5.18175,145.781
Main Reef Islands,ayiw1239,0,0,0,-10.30387,166.32344
Makassar,maka1311,1,3,3,-5.65551,119.838
Malekula (Southwest),sout2857,0,0,0,-16.5116,167.477
Manam,mana1295,0,1,2,-4.07921,145.033
Mandaya,mans1262,0,1,1,6.79221,126.181
Mangareva,mang1401,1,2,2,-23.1095,225.03
Manggarai,mang1405,0,3,4,-8.55748,120.329
Manus,kheh1237,0,1,1,-2.06626,146.746
Maohi,tahi1242,1,4,3,-17.6485,210.55
Maori,maor1246,1,2,2,-38.2881,176.541
Maranao,mara1404,1,2,2,7.79414,124.175
Maré,neng1238,0,3,2,-21.5305,167.964
Marovo (Coastal),maro1244,0,1,1,-8.37943,157.747
Marovo (Inland),hoav1238,1,0,0,-8.19679,157.595
Marquesas,nort2845,1,1,2,-8.89412,219.892
Marshallese,mars1254,1,3,4,8.72,167.73
Mekeo,meke1243,0,2,2,-8.23853,146.586
Merina,plat1254,1,4,4,-19.5907,47.1211
Minahasa,tont1239,0,2,1,1.24813,124.654
Minangkabau,mina1268,1,1,3,-0.896,100.44
Modang,moda1244,0,2,4,0.80793,116.573
Motu,motu1246,0,0,1,-9.67492,147.424
Mussau-Emirau,muss1246,0,1,1,-1.44105,149.624
Nendö,nang1262,0,0,0,-10.7441,165.887
Ngadha,ngad1261,0,2,4,-8.79508,120.976
Ngaju,ngaj1237,0,0,3,-1.58463,112.794
Nguna,nort2836,0,2,2,-17.5774,168.375
Nias,nias1242,0,2,3,0.90691,97.4961
Nissan,neha1247,0,1,0,-4.56875,154.2
Niue,niue1239,0,2,1,-19.06,190.14
Nukuoro,nuku1260,1,1,1,3.84,154.975
Ontong Java,onto1237,1,1,1,-5.49029,159.701
Paiwan,paiw1248,0,1,2,22.3271,120.806
Palau,pala1344,1,1,2,7.34138,134.476678
Palawan Batak,broo1239,0,0,0,8.83891,117.871
Peninsular Malays,stan1306,1,3,3,3.08896,101.699
Pohnpei,pohn1238,1,2,3,6.87212,158.223
Puyuma,puyu1239,0,1,0,22.643,120.996
Rapanui,rapa1244,1,2,2,-27.113,250.658
Rejang,reja1240,0,3,4,-3.33056,102.434
Rennell-Bellona,renn1242,0,2,2,-11.6237,160.265
Roti,term1237,1,2,3,-10.7326,123.169
Rotuma,rotu1241,0,3,1,-12.5008,177.066
Roviana,rovi1238,0,1,2,-8.20493,157.408
Sa'a,saaa1240,0,1,2,-9.60258,161.467
Sagada Igorot,nort2877,1,0,1,17.1057,120.786
Samoa,samo1305,0,3,2,-13.92,188.17
Savu,sabu1255,0,2,3,-10.5522,121.847
Sengseng,seng1281,0,0,0,-6.16474,149.784
Sika,sika1262,0,3,3,-8.67302,122.38
Simbo,simb1256,0,2,1,-8.26947,156.541
Siraya,sira1267,0,1,0,22.9777,120.315
Southeast Ambrym,sout2859,0,1,2,-16.2975,168.211
Southern Cook Islands,raro1241,1,2,4,-21.23,200.22
Southern Toraja,tora1261,1,3,3,-2.97144,119.829
Southwestern Islands,luan1263,0,1,4,-8.18378,127.944
Subanun,cent2089,0,0,0,8.12701,123.018
Tabar,mand1440,0,0,0,-2.7828,151.956
Tagbanua (Central),cent2090,0,2,3,10.6519,119.338
Taliabu,tali1262,0,0,0,-1.79516,124.869
Talise,tali1259,0,0,0,-9.76764,160.231
Tanimbar,yamd1240,0,1,4,-7.73722,131.44
Tanna,lena1238,0,0,1,-19.4763,169.261
Taumako,pile1238,0,0,0,-10.173335,166.247188
Tausug,taus1251,1,4,4,5.12236,118.88
Tetum,tetu1245,0,3,4,-9.11,125.53
Tikopia,tiko1237,0,2,2,-12.2766,168.822
Tinguian,bino1237,1,1,1,17.5972,120.876
To'abaita,toab1237,0,0,0,-8.39233,160.619
Toba Batak,bata1289,1,2,1,2.35498,99.1761
Tokelau,toke1240,0,2,1,-9.227642,188.219167
Tolai,kuan1248,0,0,1,-4.30986,152.114
Tonga,tong1325,0,3,4,-21.17,184.75
Tongareva,penr1237,0,2,2,-9.082238,202.077092
Trobriands,kili1267,0,2,2,-8.72574,151.072
Tsou (Northern),tsou1248,0,2,1,23.216,120.787
Tuamotu,tuam1242,1,2,2,-16.17259,213.678245
Tuvalu,tuva1244,1,2,2,-8.520813,179.198088
Uvea,wall1257,1,2,2,-13.2903,183.793
Visayans,cebu1242,0,2,3,8.38799,124.367
Waropen,waro1242,0,0,1,-2.31142,136.633
Western Bukidnon Manobo,west2555,0,1,0,7.6682,124.825
Weyewa,weje1237,1,2,3,-9.55099,119.349
Wogeo,woge1237,0,1,1,-3.20238,144.089
Woleai,wole1240,0,2,1,7.37957,143.916
Wuvulu-Aua,wuvu1239,1,1,2,-1.73938,142.851
Yami,yami1254,1,0,1,22.055,121.544
