country,iso,spice_std,temp_std,latitude,longitude
Lebanon,LB,0.719859168,-0.035736421,33.854721,35.862285
Morocco,MA,1.478246691,0.221895423,31.791702,-7.09262
Israel,IL,-0.025445917,0.561870405,31.046051,34.851612
Malaysia,MY,0.964784667,1.273616426,4.210484,101.975766
Indonesia,ID,2.030483799,1.221280518,-0.789275,113.921327
Philippines,PH,-0.361672655,1.268140054,12.879721,121.774017
South Africa,ZA,-0.996171753,0.234057551,-30.559482,22.937506
Australia,AU,-0.588408355,0.793831214,-25.274398,133.775136
United Kingdom,GB,-0.999815858,-0.848936336,55.378051,-3.435973
United States,US,0.664049634,-0.496728897,37.09024,-95.712891
Norway,NO,-1.257652776,-1.935667833,60.472024,8.468946
Denmark,DK,-1.16588208,-0.964858811,56.26392,9.501785
Sweden,SE,-0.771733556,-1.623675453,60.128161,18.643501
Iran,IR,0.720599979,0.218871014,32.427908,53.688046
Brazil,BR,0.273473058,1.154247044,-14.235004,-51.92528
Portugal,PT,0.527474983,-0.040709012,39.399872,-8.224454
Mexico,MX,0.054014503,0.638240613,23.634501,-102.552784
Spain,ES,0.318056001,-0.280787799,40.463667,-3.74922
France,FR,-0.866783691,-0.614698693,46.227638,2.213749
Italy,IT,-0.345096329,-0.39461799,41.87194,12.56738
Greece,GR,0.091381347,-0.189856145,39.074208,21.824312
Poland,PL,-0.65727503,-0.97805151,51.919438,19.145136
Ireland,IE,-0.256324256,-0.78675125,53.41291,-8.24389
Kenya,KE,0.935182027,1.121144717,-0.023559,37.906193
Nigeria,NG,-0.787446821,1.394925459,9.081999,8.675277
Ghana,GH,-1.122624096,1.459934185,7.946527,-1.023194
Hungary,HU,-0.342232991,-0.636875992,47.162494,19.503304
Finland,FI,-1.147927597,-1.755960773,61.92411,25.748151
South Korea,KR,0.084795241,-0.523056648,35.907757,127.766922
Vietnam,VN,0.341988512,1.014835236,14.058324,108.277199
Thailand,TH,1.418396067,1.361704419,15.870032,100.992541
Ethiopia,ET,2.8512523,0.929506088,9.145,40.489673
Germany,DE,-0.389215226,-0.881193424,51.165691,10.451526
Austria,AT,-0.608506796,-1.215431215,47.516231,14.550072
India,IN,1.17508904,1.08067601,20.593684,78.96288
China,CN,-0.215837326,-1.139914676,35.86166,104.195397
Japan,JP,-1.743073906,-0.605267499,36.204824,138.252924
